token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
7397,EURUSD22JUN1.275PE,EURUSD,2022-06-28,12750000.0,1,OPTCUR,CDS,1000.000000
15274,GBPINR2261791PE,GBPINR,2022-06-17,910000000.0,1,OPTCUR,CDS,25000.000000
8297,JPYINR22SEP68.75PE,JPYINR,2022-09-28,687500000.0,1,OPTCUR,CDS,25000.000000
2305,EURUSD22SEP1.275CE,EURUSD,2022-09-28,12750000.0,1,OPTCUR,CDS,1000.000000
1042,667GS203522AUG88.75CE,667GS2035,2022-08-25,887500000.0,1,OPTIRC,CDS,25000.000000
6320,GBPINR2281998.5CE,GBPINR,2022-08-19,985000000.0,1,OPTCUR,CDS,25000.000000
1833,EURINR23MAR78.5PE,EURINR,2023-03-29,785000000.0,1,OPTCUR,CDS,25000.000000
1220,GBPINR22805101CE,GBPINR,2022-08-05,1010000000.0,1,OPTCUR,CDS,25000.000000
10023,USDINR2290277CE,USDINR,2022-09-02,770000000.0,1,OPTCUR,CDS,25000.000000
14827,JPYINR22JUL58.5CE,JPYINR,2022-07-27,585000000.0,1,OPTCUR,CDS,25000.000000
1373,EURUSD22JUL1.195PE,EURUSD,2022-07-27,11950000.0,1,OPTCUR,CDS,1000.000000
4970,JPYINR22SEP61.5CE,JPYINR,2022-09-28,615000000.0,1,OPTCUR,CDS,25000.000000
8798,USDJPY22DEC102.5PE,USDJPY,2022-12-28,1025000000.0,1,OPTCUR,CDS,100000.000000
1493,667GS203522SEP94.75PE,667GS2035,2022-09-29,947500000.0,1,OPTIRC,CDS,25000.000000
6397,610GS203123MAR95.5CE,610GS2031,2023-03-30,955000000.0,1,OPTIRC,CDS,25000.000000
6941,GBPINR22617100CE,GBPINR,2022-06-17,1000000000.0,1,OPTCUR,CDS,25000.000000
13409,667GS203522JUN100PE,667GS2035,2022-06-30,1000000000.0,1,OPTIRC,CDS,25000.000000
12762,JPYINR22JUN70.25CE,JPYINR,2022-06-28,702500000.0,1,OPTCUR,CDS,25000.000000
2216,JPYINR22DEC57.25PE,JPYINR,2022-12-28,572500000.0,1,OPTCUR,CDS,25000.000000
12382,GBPINR2271593.25PE,GBPINR,2022-07-15,932500000.0,1,OPTCUR,CDS,25000.000000
1416,EURINR2262479PE,EURINR,2022-06-24,790000000.0,1,OPTCUR,CDS,25000.000000
12496,JPYINR23MAR60.25PE,JPYINR,2023-03-29,602500000.0,1,OPTCUR,CDS,25000.000000
6144,GBPUSD22AUG1.315CE,GBPUSD,2022-08-26,13150000.0,1,OPTCUR,CDS,1000.000000
51,GOI7.57%2033,757GS2033,,-1.0,1,UNDIRC,CDS,25000.000000
7865,667GS203522DEC94.5CE,667GS2035,2022-12-29,945000000.0,1,OPTIRC,CDS,25000.000000
3728,EURUSD22DEC1.14PE,EURUSD,2022-12-28,11400000.0,1,OPTCUR,CDS,1000.000000
10846,USDINR2281279CE,USDINR,2022-08-12,790000000.0,1,OPTCUR,CDS,25000.000000
10479,JPYINR2280561PE,JPYINR,2022-08-05,610000000.0,1,OPTCUR,CDS,25000.000000
14873,JPYINR22JUL64.25CE,JPYINR,2022-07-27,642500000.0,1,OPTCUR,CDS,25000.000000
8589,GBPINR2270899.5CE,GBPINR,2022-07-08,995000000.0,1,OPTCUR,CDS,25000.000000
6895,USDINR2281980.75CE,USDINR,2022-08-19,807500000.0,1,OPTCUR,CDS,25000.000000
1187,577GS203022JUNFUT,577GS2030,2022-06-30,-1.0,1,FUTIRC,CDS,25000.000000
10510,GBPINR22812102.5CE,GBPINR,2022-08-12,1025000000.0,1,OPTCUR,CDS,25000.000000
8580,EURINR2290288.5PE,EURINR,2022-09-02,885000000.0,1,OPTCUR,CDS,25000.000000
4544,GBPINR22AUG93.5CE,GBPINR,2022-08-26,935000000.0,1,OPTCUR,CDS,25000.000000
2641,GBPINR22624100PE,GBPINR,2022-06-24,1000000000.0,1,OPTCUR,CDS,25000.000000
13610,USDINR22DEC73.75CE,USDINR,2022-12-28,737500000.0,1,OPTCUR,CDS,25000.000000
5427,JPYINR22AUG53.25CE,JPYINR,2022-08-26,532500000.0,1,OPTCUR,CDS,25000.000000
8064,GBPINR2270197.5PE,GBPINR,2022-07-01,975000000.0,1,OPTCUR,CDS,25000.000000
5826,GBPINR23MAR95.5CE,GBPINR,2023-03-29,955000000.0,1,OPTCUR,CDS,25000.000000
2592,GBPINR2262498.25CE,GBPINR,2022-06-24,982500000.0,1,OPTCUR,CDS,25000.000000
9055,585GS203022JUL86.75PE,585GS2030,2022-07-28,867500000.0,1,OPTIRC,CDS,25000.000000
3331,EURUSD22DEC1.1PE,EURUSD,2022-12-28,11000000.0,1,OPTCUR,CDS,1000.000000
15319,GBPINR22JUL90.75CE,GBPINR,2022-07-27,907500000.0,1,OPTCUR,CDS,25000.000000
5459,JPYINR2270852.75CE,JPYINR,2022-07-08,527500000.0,1,OPTCUR,CDS,25000.000000
11591,610GS203122SEP99.5PE,610GS2031,2022-09-29,995000000.0,1,OPTIRC,CDS,25000.000000
2482,EURINR22AUG81.75PE,EURINR,2022-08-26,817500000.0,1,OPTCUR,CDS,25000.000000
5069,JPYINR22SEP65.5PE,JPYINR,2022-09-28,655000000.0,1,OPTCUR,CDS,25000.000000
15327,GBPINR22SEP90.75CE,GBPINR,2022-09-28,907500000.0,1,OPTCUR,CDS,25000.000000
11066,USDJPY22SEP130.5PE,USDJPY,2022-09-28,1305000000.0,1,OPTCUR,CDS,100000.000000
3321,EURUSD22DEC1.095CE,EURUSD,2022-12-28,10950000.0,1,OPTCUR,CDS,1000.000000
3793,EURUSD22DEC1.185CE,EURUSD,2022-12-28,11850000.0,1,OPTCUR,CDS,1000.000000
5425,JPYINR22AUG53CE,JPYINR,2022-08-26,530000000.0,1,OPTCUR,CDS,25000.000000
3804,EURUSD22DEC1.195CE,EURUSD,2022-12-28,11950000.0,1,OPTCUR,CDS,1000.000000
13035,USDJPY22SEP134.5PE,USDJPY,2022-09-28,1345000000.0,1,OPTCUR,CDS,100000.000000
9501,GBPUSD22JUN1.305CE,GBPUSD,2022-06-28,13050000.0,1,OPTCUR,CDS,1000.000000
2946,GBPINR22SEP104CE,GBPINR,2022-09-28,1040000000.0,1,OPTCUR,CDS,25000.000000
2542,EURINR22AUG82.5PE,EURINR,2022-08-26,825000000.0,1,OPTCUR,CDS,25000.000000
11511,610GS203122JUN97.75PE,610GS2031,2022-06-30,977500000.0,1,OPTIRC,CDS,25000.000000
2448,EURINR22AUG80.5PE,EURINR,2022-08-26,805000000.0,1,OPTCUR,CDS,25000.000000
8238,EURINR2290283.5CE,EURINR,2022-09-02,835000000.0,1,OPTCUR,CDS,25000.000000
3343,GBPINR2270191.75CE,GBPINR,2022-07-01,917500000.0,1,OPTCUR,CDS,25000.000000
4946,EURINR2261788PE,EURINR,2022-06-17,880000000.0,1,OPTCUR,CDS,25000.000000
8084,GBPINR22701100PE,GBPINR,2022-07-01,1000000000.0,1,OPTCUR,CDS,25000.000000
9224,667GS203522DEC96.5PE,667GS2035,2022-12-29,965000000.0,1,OPTIRC,CDS,25000.000000
2325,EURINR2272284PE,EURINR,2022-07-22,840000000.0,1,OPTCUR,CDS,25000.000000
14285,USDJPY22AUG128.5PE,USDJPY,2022-08-26,1285000000.0,1,OPTCUR,CDS,100000.000000
13116,USDJPY23MAR128CE,USDJPY,2023-03-29,1280000000.0,1,OPTCUR,CDS,100000.000000
12142,USDINR2261778.25PE,USDINR,2022-06-17,782500000.0,1,OPTCUR,CDS,25000.000000
14945,USDINR22JUL77.5CE,USDINR,2022-07-27,775000000.0,1,OPTCUR,CDS,25000.000000
1444,EURUSD22DEC.99CE,EURUSD,2022-12-28,9900000.0,1,OPTCUR,CDS,1000.000000
5235,USDINR2262481.75CE,USDINR,2022-06-24,817500000.0,1,OPTCUR,CDS,25000.000000
2111,JPYINR22JUN52.5CE,JPYINR,2022-06-28,525000000.0,1,OPTCUR,CDS,25000.000000
6304,GBPINR2281996.5CE,GBPINR,2022-08-19,965000000.0,1,OPTCUR,CDS,25000.000000
10619,JPYINR2281263.75PE,JPYINR,2022-08-12,637500000.0,1,OPTCUR,CDS,25000.000000
8900,JPYINR2270862.75PE,JPYINR,2022-07-08,627500000.0,1,OPTCUR,CDS,25000.000000
8298,USDINR2272970.5CE,USDINR,2022-07-29,705000000.0,1,OPTCUR,CDS,25000.000000
