,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
4950,2231,H3360D30DG-MF,H3360D30DG,,-1.0,1,,NSE,1.0
4962,4661,H1487D42RQ-MF,H1487D42RQ,,-1.0,1,,NSE,1.0
4967,18094,BPF02IWR-MF,BPF02IWR,,-1.0,1,,NSE,1.0
5000,5300,EC7DG-MF,EC7DG,,-1.0,1,,NSE,1.0
5008,9523,SFMP1GD-MF,SFMP1GD,,-1.0,1,,NSE,1.0
5017,5180,SFMP47DR-MF,SFMP47DR,,-1.0,1,,NSE,1.0
5035,17556,MI2MP-MF,MI2MP,,-1.0,1,,NSE,1.0
5044,17558,FILDF2GP-MF,FILDF2GP,,-1.0,1,,NSE,1.0
5048,10090,SFMP7GD-MF,SFMP7GD,,-1.0,1,,NSE,1.0
5071,2815,CHEMFAB-BE,CHEMFAB,,-1.0,1,,NSE,5.0
5072,5382,MFL-EQ,MFL,,-1.0,1,,NSE,5.0
5081,24058,UTFIAIPRPI-MF,UTFIAIPRPI,,-1.0,1,,NSE,1.0
5087,10157,SFMP8GD-MF,SFMP8GD,,-1.0,1,,NSE,1.0
5100,14998,SFMP25DR-MF,SFMP25DR,,-1.0,1,,NSE,1.0
5102,1857,EC1RG-MF,EC1RG,,-1.0,1,,NSE,1.0
5138,16896,SFMP27DD-MF,SFMP27DD,,-1.0,1,,NSE,1.0
5150,5439,H1372D42DG-MF,H1372D42DG,,-1.0,1,,NSE,1.0
5170,18010,BPF02D4R-MF,BPF02D4R,,-1.0,1,,NSE,1.0
5210,17995,PGIMCSR1D-MF,PGIMCSR1D,,-1.0,1,,NSE,1.0
5221,17983,UTIRMP33P1-MF,UTIRMP33P1,,-1.0,1,,NSE,1.0
5264,4689,EC6DG-MF,EC6DG,,-1.0,1,,NSE,1.0
