token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
959355,6NABARD8330,6NABARD8330,,-1.0,1,,BSE,1.000000
511441,GUJCRED,GUJCRED,,-1.0,1,,BSE,5.000000
957422,895ABHFL26,895ABHFL26,,-1.0,1,,BSE,1.000000
937167,0MVAFL25,0MVAFL25,,-1.0,1,,BSE,1.000000
953435,840PGCIL25A,840PGCIL25A,,-1.0,1,,BSE,1.000000
543490,GMRP&UI,GMRP&UI,,-1.0,1,,BSE,5.000000
539229,MRSS,MRSS,,-1.0,600,,BSE,1.000000
531346,EASTRED,EASTRED,,-1.0,1,,BSE,5.000000
956978,918NRSS24B,918NRSS24B,,-1.0,1,,BSE,1.000000
540425,SHANKARA,SHANKARA,,-1.0,1,,BSE,5.000000
937467,MFLV26E,MFLV26E,,-1.0,1,,BSE,1.000000
960369,KFIC241220,KFIC241220,,-1.0,10,,BSE,1.000000
973129,10SKFL24,10SKFL24,,-1.0,1,,BSE,1.000000
959696,975EFL23B,975EFL23B,,-1.0,1,,BSE,1.000000
533189,GOENKA,GOENKA,,-1.0,1,,BSE,1.000000
959666,81LTFL30,81LTFL30,,-1.0,1,,BSE,1.000000
536035,KTKFMP110D,KTKFMP110D,,-1.0,1,,BSE,1.000000
950742,870PGC2028,870PGC2028,,-1.0,1,,BSE,1.000000
957409,845IIL28,845IIL28,,-1.0,1,,BSE,1.000000
500120,DIAMINESQ,DIAMINESQ,,-1.0,1,,BSE,5.000000
937891,ZCMFL24,ZCMFL24,,-1.0,1,,BSE,1.000000
531585,DEVINE,DEVINE,,-1.0,1,,BSE,1.000000
514418,MANORG,MANORG,,-1.0,1,,BSE,5.000000
540775,KHADIM,KHADIM,,-1.0,1,,BSE,5.000000
