,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
948,3727,ANMOL-EQ,ANMOL,,-1.0,1,,NSE,5.0
954,11840,NH-EQ,NH,,-1.0,1,,NSE,5.0
955,11884,MANINDS-EQ,MANINDS,,-1.0,1,,NSE,5.0
958,24190,SYMPHONY-EQ,SYMPHONY,,-1.0,1,,NSE,5.0
960,4279,DENORA-EQ,DENORA,,-1.0,1,,NSE,5.0
961,6353,MAN50ETF-EQ,MAN50ETF,,-1.0,1,,NSE,1.0
963,3626,ICICIPHARM-EQ,ICICIPHARM,,-1.0,1,,NSE,1.0
972,31234,SCHNEIDER-EQ,SCHNEIDER,,-1.0,1,,NSE,5.0
979,2004,AHLADA-EQ,AHLADA,,-1.0,1,,NSE,5.0
980,9480,LICI-EQ,LICI,,-1.0,1,,NSE,5.0
985,2107,STOVEKRAFT-EQ,STOVEKRAFT,,-1.0,1,,NSE,5.0
986,13270,JKCEMENT-EQ,JKCEMENT,,-1.0,1,,NSE,5.0
988,12018,SUZLON-EQ,SUZLON,,-1.0,1,,NSE,5.0
992,3348,SUNFLAG-EQ,SUNFLAG,,-1.0,1,,NSE,5.0
996,8771,MEP-EQ,MEP,,-1.0,1,,NSE,5.0
1006,14339,GANESHHOUC-EQ,GANESHHOUC,,-1.0,1,,NSE,5.0
1007,330,VALIANTORG-EQ,VALIANTORG,,-1.0,1,,NSE,5.0
1010,19679,ICICIGOLD-EQ,ICICIGOLD,,-1.0,1,,NSE,1.0
1011,10794,CANBK-EQ,CANBK,,-1.0,1,,NSE,5.0
1012,20086,CAREERP-EQ,CAREERP,,-1.0,1,,NSE,5.0
1013,6286,GULPOLY-EQ,GULPOLY,,-1.0,1,,NSE,5.0
1015,17272,SETFGOLD-EQ,SETFGOLD,,-1.0,1,,NSE,1.0
1019,6951,LINC-EQ,LINC,,-1.0,1,,NSE,5.0
1022,10637,OLECTRA-EQ,OLECTRA,,-1.0,1,,NSE,5.0
1024,20063,SASTASUNDR-EQ,SASTASUNDR,,-1.0,1,,NSE,5.0
1030,1708,JAYBARMARU-EQ,JAYBARMARU,,-1.0,1,,NSE,5.0
1033,5168,SBIETFCON-EQ,SBIETFCON,,-1.0,1,,NSE,1.0
